Iter,lewis,stroll,diff
0,1.00,0.39,0.60
1,0.01,0.95,0.94
2,0.04,0.18,0.14
3,0.15,0.59,0.44
4,0.51,0.97,0.46
5,1.00,0.12,0.87
6,0.01,0.43,0.42
7,0.05,0.98,0.93
8,0.18,0.08,0.09
9,0.58,0.30,0.28
10,0.97,0.84,0.14
11,0.10,0.55,0.44
12,0.37,0.99,0.61
13,0.94,0.04,0.89
14,0.24,0.16,0.08
15,0.73,0.55,0.19
16,0.78,0.99,0.21
17,0.68,0.04,0.63
18,0.87,0.17,0.70
19,0.45,0.56,0.11
20,0.99,0.98,0.01
21,0.04,0.07,0.02
22,0.17,0.25,0.08
23,0.56,0.75,0.19
24,0.98,0.74,0.24
25,0.08,0.77,0.69
26,0.28,0.71,0.43
27,0.80,0.82,0.02
28,0.64,0.58,0.05
29,0.92,0.97,0.05
30,0.29,0.12,0.17
31,0.83,0.42,0.41
32,0.56,0.97,0.41
33,0.98,0.10,0.88
34,0.07,0.35,0.28
35,0.27,0.91,0.64
36,0.79,0.32,0.47
37,0.66,0.87,0.21
38,0.89,0.45,0.45
39,0.38,0.99,0.61
